MPD ID,MeSH ID
50406,D005997
9843,D009504|D001992
9848,D009504|D001992
34508,D000073219|D007858
50418,D005997
50312,D002331
47141,D009538|D007858|D013375
47142,D009538|D007858|D013375
47144,D009538|D007858|D013375
47143,D009538|D007858|D013375
50419,D005997
19410,D001219
19411,D001219
19441,D001219
19471,D001219
50408,D005997
39557,D007538|D056486
39556,D007538|D056486
43013,D005234
43014,D005234
50517,D013941
50223,D014532
19313,D005307
34507,D007858|D005106
34518,D007858
56321,D058452
56322,D058452
50417,D005997
9803,D004804|D001985|D001992
9808,D004804|D001985|D001992
50139,D005977
50172,D007930
50518,D000621
34506,D008568|D007858
14201,D014724|D005071
50389,D003345
50409,D005997
15810,D045442
15811,D045442
15812,D045442
57181,D009980
57183,D009980
57182,D009980
34940,D013216
34520,D007858
50357,D019787
24702,D001835
24701,D001835
50169,D007532
50157,D006909
50352,D011409
9802,D004804|D001985|D001992
9807,D004804|D001985|D001992
22830,D002784
22831,D002784
49229,D053527
44404,D008098
35001,D016057
35004,D016057
35003,D016057
35002,D016057
34521,D065853
50243,D002331
22811,D012709
22810,D012709
50177,D014633
34509,D005239
11811,D005239
11806,D005239
11809,D005239
50178,D050646
34501,D008124
50162,D002956
19301,D013480
22531,D012903
50202,D005944
16510,D000437
16509,D000437
43017,D005234
43018,D005234
50153,D014364
22835,D008076
22836,D008076
19314,D059471
34511,D005239
2924,D000410
50420,D005997
34510,D005239
39115,D014718
50309,D013657
47341,D005239
47342,D005239
47344,D005239
47343,D005239
11816,D005239
11814,D005239
16513,D020268
16514,D020268
19101,D020268
47704,D004827
47115,D009538
47116,D009538
50143,D008239
47131,D005239
47133,D005239
47134,D005239
47132,D005239
16515,D020751
16516,D020751
