"","x"
"338","1700094D03Rik"
"339","1700095B22Rik"
"340","1700101E01Rik"
"341","1700101G07Rik"
"342","1700101I19Rik"
"343","1700102P08Rik"
"344","1700104A03Rik"
"345","1700104A03Rik|Gldn"
"346","1700104B16Rik"
"347","1700106J16Rik"
"348","1700106N22Rik"
"349","1700108M19Rik"
"350","1700109F18Rik"
"351","1700109F18Rik|Hoxd3|1700109F18Rik"
"352","1700109F18Rik|Hoxd8"
"353","1700109H08Rik"
"354","1700109H08Rik|C030048B08Rik"
"355","1700110I01Rik"
"356","1700110M21Rik"
"357","1700112E06Rik"
"358","1700112E06Rik|AC124729.1"
"359","1700112E06Rik|AC170595.1"
"360","1700113H08Rik"
"361","1700116B05Rik"
"362","1700120B22Rik"
"363","1700120K04Rik"
"364","1700122O11Rik"
"365","1700123I01Rik"
"366","1700123K08Rik"
"367","1700123O20Rik"
"368","1700125H20Rik"
"369","1700127D06Rik"
"370","1700128E19Rik"
"371","1700128F08Rik"
"372","1700129C05Rik"
"373","1810006K21Rik"
"374","1810007M14Rik"
"375","1810008A18Rik"
"376","1810009J06Rik"
"377","1810010H24Rik"
"378","1810010K12Rik"
"379","1810012P15Rik"
"380","1810013D15Rik"
"381","1810013L24Rik"
"382","1810014F10Rik"
"383","1810019J16Rik"
"384","1810020D17Rik"
"385","1810022C23Rik"
"386","1810022K09Rik"
"387","1810024B03Rik"
"388","1810026J23Rik"
"389","1810027O10Rik"
"390","1810029B16Rik"
"391","1810030J14Rik"
"392","1810030N24Rik"
"393","1810030O07Rik"
"394","1810031K17Rik"
"395","1810032O08Rik"
"396","1810032O08Rik|St6galnac2"
"397","1810033B17Rik"
"398","1810035L17Rik"
"399","1810037I17Rik"
"400","1810041L15Rik"
"401","1810043G02Rik"
"402","1810043H04Rik"
"403","1810046J19Rik"
"404","1810046K07Rik"
"405","1810048J11Rik"
"406","1810049H13Rik"
"407","1810055G02Rik"
"408","1810058I24Rik"
"409","1810058N15Rik"
"410","1810062G17Rik"
"411","1810063B05Rik"
"412","1810063B07Rik"
"413","1810065E05Rik"
"414","1810074P20Rik"
"415","2010001E11Rik"
"416","2010001M09Rik"
"417","2010002M12Rik"
"418","2010002N04Rik"
"419","2010003K11Rik"
"420","2010005H15Rik"
"421","2010007H06Rik"
"422","2010007H12Rik"
"423","2010011I20Rik"
"424","2010012O05Rik"
"425","2010015L04Rik"
"426","2010106E10Rik"
"427","2010106G01Rik"
"428","2010107E04Rik"
"429","2010107G12Rik"
"430","2010107G23Rik"
"431","2010107H07Rik"
"432","2010109A12Rik"
"433","2010109I03Rik"
"434","2010109K11Rik"
"435","2010110P09Rik"
"436","2010111I01Rik"
"437","2010204K13Rik"
"438","2010300C02Rik"
"439","2010305A19Rik"
"440","2010317E24Rik"
"441","2010321M09Rik"
"442","2200001I15Rik"
"443","2200002D01Rik"
"444","2200002J24Rik"
"445","2200002K05Rik"
"446","2210009G21Rik"
"447","2210009G21Rik|Mkks"
"448","2210010C04Rik"
"449","2210010C17Rik"
"450","2210011C24Rik"
"451","2210012G02Rik"
"452","2210012G02Rik|Tmem59"
"453","2210016F16Rik"
"454","2210016L21Rik"
"455","2210016L21Rik|Hnf1a"
"456","2210017I01Rik"
"457","2210018M11Rik"
"458","2210021J22Rik"
"459","2210023G05Rik"
"460","2210406O10Rik"
"461","2210407C18Rik"
"462","2210408I21Rik"
"463","2210411K11Rik"
"464","2210415F13Rik"
"465","2300002M23Rik"
"466","2300003K06Rik"
"467","2300005B03Rik"
"468","2300009A05Rik"
"469","2310001A20Rik"
"470","2310001H12Rik"
"471","2310002J15Rik"
"472","2310002L09Rik"
